observation_id,obs_match,partner_id,par_match,From Dataset,no_partner_ids,id,p_id
333729313,No,333811009,No,Yes,,333729313_333811009,333811009_333729313
333811009,No,333729313,No,Yes,,333811009_333729313,333729313_333811009
333823288,Yes,332574413,Yes,Yes,,333823288_332574413,332574413_333823288
333844953,Yes,333844966,Yes,Yes,,333844953_333844966,333844966_333844953
333844966,Yes,333844953,Yes,Yes,,333844966_333844953,333844953_333844966
333876887,Yes,333882220,No,Yes,,333876887_333882220,333882220_333876887
333882220,No,333876887,Yes,Yes,,333882220_333876887,333876887_333882220
333987898,No,333988167,No,Yes,,333987898_333988167,333988167_333987898
333988167,No,333987898,No,Yes,,333988167_333987898,333987898_333988167
334018863,Yes,334018769,No,Yes,,334018863_334018769,334018769_334018863
334025380,Yes,334074798,No,Yes,,334025380_334074798,334074798_334025380
334079609,Yes,334080623,No,Yes,,334079609_334080623,334080623_334079609
334080623,No,334079609,Yes,Yes,,334080623_334079609,334079609_334080623
334124909,Yes,337604821,No,Yes,,334124909_337604821,337604821_334124909
334149289,Yes,334149484,No,Yes,,334149289_334149484,334149484_334149289
334186081,Yes,334186139,No,Yes,,334186081_334186139,334186139_334186081
334203356,Yes,334203668,No,Yes,,334203356_334203668,334203668_334203356
334273353,Yes,334551143,No,Yes,,334273353_334551143,334551143_334273353
334383812,Yes,334384183,Yes,Yes,,334383812_334384183,334384183_334383812
334384183,Yes,334383812,Yes,Yes,,334384183_334383812,334383812_334384183
334391543,Yes,334391547,No,Yes,,334391543_334391547,334391547_334391543
334391547,No,334391543,Yes,Yes,,334391547_334391543,334391543_334391547
334489231,No,334489228,No,Yes,,334489231_334489228,334489228_334489231
334555029,Yes,334560377,Yes,Yes,,334555029_334560377,334560377_334555029
334560377,Yes,334555029,Yes,Yes,,334560377_334555029,334555029_334560377
334579903,Yes,334579906,No,Yes,,334579903_334579906,334579906_334579903
334665942,Yes,334666480,No,Yes,,334665942_334666480,334666480_334665942
334666668,Yes,334675957,Yes,Yes,,334666668_334675957,334675957_334666668
334675957,Yes,334666668,Yes,Yes,,334675957_334666668,334666668_334675957
334676099,Yes,334676415,Yes,Yes,,334676099_334676415,334676415_334676099
334676415,Yes,334676099,Yes,Yes,,334676415_334676099,334676099_334676415
334758419,Yes,334758208,No,Yes,,334758419_334758208,334758208_334758419
335049285,Yes,335049273,No,Yes,,335049285_335049273,335049273_335049285
335051577,Yes,335051576,No,Yes,,335051577_335051576,335051576_335051577
335078640,Yes,335307504,No,Yes,,335078640_335307504,335307504_335078640
335127733,Yes,335127782,No,Yes,,335127733_335127782,335127782_335127733
335127782,No,335127733,Yes,Yes,,335127782_335127733,335127733_335127782
335233453,Yes,335231712,No,Yes,,335233453_335231712,335231712_335233453
335307504,No,335078640,Yes,Yes,,335307504_335078640,335078640_335307504
335308373,No,335078640,Yes,Yes,,335308373_335078640,335078640_335308373
335356566,Yes,335356564,No,Yes,,335356566_335356564,335356564_335356566
335390036,Yes,335390128,Yes,Yes,,335390036_335390128,335390128_335390036
335390128,Yes,335390036,Yes,Yes,,335390128_335390036,335390036_335390128
335448468,Yes,335448438,No,Yes,,335448468_335448438,335448438_335448468
335448806,No,335448807,Yes,Yes,,335448806_335448807,335448807_335448806
335448807,Yes,335448806,No,Yes,,335448807_335448806,335448806_335448807
335517051,Yes,335517052,Yes,Yes,,335517051_335517052,335517052_335517051
335517052,Yes,335517051,Yes,Yes,,335517052_335517051,335517051_335517052
335555354,Yes,335555353,No,Yes,,335555354_335555353,335555353_335555354
335556542,Yes,335556543,Yes,Yes,,335556542_335556543,335556543_335556542
335556543,Yes,335556542,Yes,Yes,,335556543_335556542,335556542_335556543
335557393,Yes,335557394,Yes,Yes,,335557393_335557394,335557394_335557393
335557394,Yes,335557393,Yes,Yes,,335557394_335557393,335557393_335557394
335652744,Yes,335652745,Yes,Yes,,335652744_335652745,335652745_335652744
335652745,Yes,335652744,Yes,Yes,,335652745_335652744,335652744_335652745
335652747,Yes,335652748,Yes,Yes,,335652747_335652748,335652748_335652747
335652748,Yes,335652747,Yes,Yes,,335652748_335652747,335652747_335652748
335663978,Yes,335665072,No,Yes,,335663978_335665072,335665072_335663978
335753188,Yes,335753189,No,Yes,,335753188_335753189,335753189_335753188
335782429,Yes,335816566,Yes,Yes,,335782429_335816566,335816566_335782429
335816566,Yes,335782429,Yes,Yes,,335816566_335782429,335782429_335816566
335851389,Yes,335851393,No,Yes,,335851389_335851393,335851393_335851389
335851400,Yes,335851401,No,Yes,,335851400_335851401,335851401_335851400
335862545,Yes,336157641,No,Yes,,335862545_336157641,336157641_335862545
335874769,Yes,335875191,No,Yes,,335874769_335875191,335875191_335874769
335917970,Yes,337725484,No,Yes,,335917970_337725484,337725484_335917970
335921564,Yes,335921566,No,Yes,,335921564_335921566,335921566_335921564
335921566,No,335921564,Yes,Yes,,335921566_335921564,335921564_335921566
335922490,Yes,335922491,No,Yes,,335922490_335922491,335922491_335922490
335922491,No,335922494,No,Yes,,335922491_335922494,335922494_335922491
335942687,Yes,335942688,Yes,Yes,,335942687_335942688,335942688_335942687
335942688,Yes,335942687,Yes,Yes,,335942688_335942687,335942687_335942688
335942779,Yes,335942780,Yes,Yes,,335942779_335942780,335942780_335942779
335942780,Yes,335942779,Yes,Yes,,335942780_335942779,335942779_335942780
335972890,No,332745533,Yes,Yes,,335972890_332745533,332745533_335972890
336053536,Yes,336053549,Yes,Yes,,336053536_336053549,336053549_336053536
336053549,Yes,336053536,Yes,Yes,,336053549_336053536,336053536_336053549
336103863,No,336103867,Yes,Yes,,336103863_336103867,336103867_336103863
